geometry,panel_a_in,panel_b_in,source_dataset,case,test_id,theta1,theta2,pt,predicted_type,confidence,type1_probability,type2_probability,type3_probability,review_priority,csv_path,plot_path
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_041,-2.0,-68.0,4551.274031987597,2,0.5116666666666667,0.07333333333333333,0.5116666666666667,0.415,high,data/New_data/8x8_Case2/csv/force_disp_Test_041.csv,data/New_data/8x8_Case2/Ori/plot_Test_041_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_042,84.0,51.0,5304.112331994,2,0.49833333333333335,0.43,0.49833333333333335,0.07166666666666667,high,data/New_data/8x8_Case2/csv/force_disp_Test_042.csv,data/New_data/8x8_Case2/Ori/plot_Test_042_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_043,79.0,-71.0,3642.838541111375,1,0.5083333333333333,0.5083333333333333,0.42333333333333334,0.06833333333333333,high,data/New_data/8x8_Case2/csv/force_disp_Test_043.csv,data/New_data/8x8_Case2/Ori/plot_Test_043_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_044,59.0,-56.0,7214.189626636932,1,0.6716666666666666,0.6716666666666666,0.31833333333333336,0.01,high,data/New_data/8x8_Case2/csv/force_disp_Test_044.csv,data/New_data/8x8_Case2/Ori/plot_Test_044_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_045,-18.0,-35.0,5925.911787551522,3,0.715,0.04833333333333333,0.23666666666666666,0.715,medium,data/New_data/8x8_Case2/csv/force_disp_Test_045.csv,data/New_data/8x8_Case2/Ori/plot_Test_045_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_046,-76.0,-77.0,3325.4045484087624,2,0.475,0.445,0.475,0.08,high,data/New_data/8x8_Case2/csv/force_disp_Test_046.csv,data/New_data/8x8_Case2/Ori/plot_Test_046_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_047,42.0,27.0,6449.470381146225,2,0.48,0.13,0.48,0.39,high,data/New_data/8x8_Case2/csv/force_disp_Test_047.csv,data/New_data/8x8_Case2/Ori/plot_Test_047_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_048,1.0,71.0,4558.529609242353,2,0.4866666666666667,0.08833333333333333,0.4866666666666667,0.425,high,data/New_data/8x8_Case2/csv/force_disp_Test_048.csv,data/New_data/8x8_Case2/Ori/plot_Test_048_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_049,-37.0,22.0,6208.863158682437,3,0.5433333333333333,0.09333333333333334,0.36333333333333334,0.5433333333333333,high,data/New_data/8x8_Case2/csv/force_disp_Test_049.csv,data/New_data/8x8_Case2/Ori/plot_Test_049_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_050,-16.0,44.0,5782.42296970098,3,0.465,0.07166666666666667,0.4633333333333333,0.465,high,data/New_data/8x8_Case2/csv/force_disp_Test_050.csv,data/New_data/8x8_Case2/Ori/plot_Test_050_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_051,28.0,57.0,6018.571641259708,2,0.6866666666666666,0.13,0.6866666666666666,0.18333333333333332,high,data/New_data/8x8_Case2/csv/force_disp_Test_051.csv,data/New_data/8x8_Case2/Ori/plot_Test_051_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_052,-79.0,34.0,5218.475982441628,2,0.725,0.15333333333333332,0.725,0.12166666666666667,medium,data/New_data/8x8_Case2/csv/force_disp_Test_052.csv,data/New_data/8x8_Case2/Ori/plot_Test_052_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_053,3.0,87.0,3942.823764947161,2,0.51,0.09666666666666666,0.51,0.3933333333333333,high,data/New_data/8x8_Case2/csv/force_disp_Test_053.csv,data/New_data/8x8_Case2/Ori/plot_Test_053_original.png
