campaign_id,simulation_id,pair_id,phase,selection_stratum,geometry,panel_a_in,panel_b_in,case,theta1,theta2,case_formula,group_key,result_status
UV3S1,UV3S1-P030-6x8-Case2,P030,confirmatory,maximin_gap,6x8,6.0,8.0,Case2,-18,70,[[+/-theta1]/[+/-theta2]]4,Case2|-18|70,planned_blind
UV3S1,UV3S1-P030-6x8-Case3,P030,confirmatory,maximin_gap,6x8,6.0,8.0,Case3,-18,70,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-18|70,planned_blind
UV3S1,UV3S1-P030-6x8-Case4,P030,confirmatory,maximin_gap,6x8,6.0,8.0,Case4,-18,70,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-18|70,planned_blind
UV3S1,UV3S1-P030-8x8-Case2,P030,confirmatory,maximin_gap,8x8,8.0,8.0,Case2,-18,70,[[+/-theta1]/[+/-theta2]]4,Case2|-18|70,planned_blind
UV3S1,UV3S1-P030-8x8-Case3,P030,confirmatory,maximin_gap,8x8,8.0,8.0,Case3,-18,70,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-18|70,planned_blind
UV3S1,UV3S1-P030-8x8-Case4,P030,confirmatory,maximin_gap,8x8,8.0,8.0,Case4,-18,70,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-18|70,planned_blind
UV3S1,UV3S1-P031-6x4-Case2,P031,confirmatory,maximin_gap,6x4,6.0,4.0,Case2,-13,-57,[[+/-theta1]/[+/-theta2]]4,Case2|-13|-57,planned_blind
UV3S1,UV3S1-P031-6x4-Case3,P031,confirmatory,maximin_gap,6x4,6.0,4.0,Case3,-13,-57,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-13|-57,planned_blind
UV3S1,UV3S1-P031-6x4-Case4,P031,confirmatory,maximin_gap,6x4,6.0,4.0,Case4,-13,-57,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-13|-57,planned_blind
UV3S1,UV3S1-P031-6x8-Case2,P031,confirmatory,maximin_gap,6x8,6.0,8.0,Case2,-13,-57,[[+/-theta1]/[+/-theta2]]4,Case2|-13|-57,planned_blind
UV3S1,UV3S1-P031-6x8-Case3,P031,confirmatory,maximin_gap,6x8,6.0,8.0,Case3,-13,-57,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-13|-57,planned_blind
UV3S1,UV3S1-P031-6x8-Case4,P031,confirmatory,maximin_gap,6x8,6.0,8.0,Case4,-13,-57,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-13|-57,planned_blind
UV3S1,UV3S1-P031-8x8-Case2,P031,confirmatory,maximin_gap,8x8,8.0,8.0,Case2,-13,-57,[[+/-theta1]/[+/-theta2]]4,Case2|-13|-57,planned_blind
UV3S1,UV3S1-P031-8x8-Case3,P031,confirmatory,maximin_gap,8x8,8.0,8.0,Case3,-13,-57,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-13|-57,planned_blind
UV3S1,UV3S1-P031-8x8-Case4,P031,confirmatory,maximin_gap,8x8,8.0,8.0,Case4,-13,-57,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-13|-57,planned_blind
UV3S1,UV3S1-P032-6x4-Case2,P032,confirmatory,maximin_gap,6x4,6.0,4.0,Case2,-1,-90,[[+/-theta1]/[+/-theta2]]4,Case2|-1|-90,planned_blind
UV3S1,UV3S1-P032-6x4-Case3,P032,confirmatory,maximin_gap,6x4,6.0,4.0,Case3,-1,-90,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-1|-90,planned_blind
UV3S1,UV3S1-P032-6x4-Case4,P032,confirmatory,maximin_gap,6x4,6.0,4.0,Case4,-1,-90,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-1|-90,planned_blind
UV3S1,UV3S1-P032-6x8-Case2,P032,confirmatory,maximin_gap,6x8,6.0,8.0,Case2,-1,-90,[[+/-theta1]/[+/-theta2]]4,Case2|-1|-90,planned_blind
UV3S1,UV3S1-P032-6x8-Case3,P032,confirmatory,maximin_gap,6x8,6.0,8.0,Case3,-1,-90,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-1|-90,planned_blind
UV3S1,UV3S1-P032-6x8-Case4,P032,confirmatory,maximin_gap,6x8,6.0,8.0,Case4,-1,-90,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-1|-90,planned_blind
UV3S1,UV3S1-P032-8x8-Case2,P032,confirmatory,maximin_gap,8x8,8.0,8.0,Case2,-1,-90,[[+/-theta1]/[+/-theta2]]4,Case2|-1|-90,planned_blind
UV3S1,UV3S1-P032-8x8-Case3,P032,confirmatory,maximin_gap,8x8,8.0,8.0,Case3,-1,-90,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-1|-90,planned_blind
UV3S1,UV3S1-P032-8x8-Case4,P032,confirmatory,maximin_gap,8x8,8.0,8.0,Case4,-1,-90,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-1|-90,planned_blind
UV3S1,UV3S1-P033-6x4-Case2,P033,confirmatory,maximin_gap,6x4,6.0,4.0,Case2,14,47,[[+/-theta1]/[+/-theta2]]4,Case2|14|47,planned_blind
UV3S1,UV3S1-P033-6x4-Case3,P033,confirmatory,maximin_gap,6x4,6.0,4.0,Case3,14,47,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|14|47,planned_blind
UV3S1,UV3S1-P033-6x4-Case4,P033,confirmatory,maximin_gap,6x4,6.0,4.0,Case4,14,47,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|14|47,planned_blind
UV3S1,UV3S1-P033-6x8-Case2,P033,confirmatory,maximin_gap,6x8,6.0,8.0,Case2,14,47,[[+/-theta1]/[+/-theta2]]4,Case2|14|47,planned_blind
UV3S1,UV3S1-P033-6x8-Case3,P033,confirmatory,maximin_gap,6x8,6.0,8.0,Case3,14,47,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|14|47,planned_blind
UV3S1,UV3S1-P033-6x8-Case4,P033,confirmatory,maximin_gap,6x8,6.0,8.0,Case4,14,47,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|14|47,planned_blind
UV3S1,UV3S1-P033-8x8-Case2,P033,confirmatory,maximin_gap,8x8,8.0,8.0,Case2,14,47,[[+/-theta1]/[+/-theta2]]4,Case2|14|47,planned_blind
UV3S1,UV3S1-P033-8x8-Case3,P033,confirmatory,maximin_gap,8x8,8.0,8.0,Case3,14,47,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|14|47,planned_blind
UV3S1,UV3S1-P033-8x8-Case4,P033,confirmatory,maximin_gap,8x8,8.0,8.0,Case4,14,47,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|14|47,planned_blind
UV3S1,UV3S1-P034-6x4-Case2,P034,confirmatory,maximin_gap,6x4,6.0,4.0,Case2,30,-44,[[+/-theta1]/[+/-theta2]]4,Case2|30|-44,planned_blind
UV3S1,UV3S1-P034-6x4-Case3,P034,confirmatory,maximin_gap,6x4,6.0,4.0,Case3,30,-44,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|30|-44,planned_blind
UV3S1,UV3S1-P034-6x4-Case4,P034,confirmatory,maximin_gap,6x4,6.0,4.0,Case4,30,-44,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|30|-44,planned_blind
UV3S1,UV3S1-P034-6x8-Case2,P034,confirmatory,maximin_gap,6x8,6.0,8.0,Case2,30,-44,[[+/-theta1]/[+/-theta2]]4,Case2|30|-44,planned_blind
UV3S1,UV3S1-P034-6x8-Case3,P034,confirmatory,maximin_gap,6x8,6.0,8.0,Case3,30,-44,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|30|-44,planned_blind
UV3S1,UV3S1-P034-6x8-Case4,P034,confirmatory,maximin_gap,6x8,6.0,8.0,Case4,30,-44,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|30|-44,planned_blind
UV3S1,UV3S1-P034-8x8-Case2,P034,confirmatory,maximin_gap,8x8,8.0,8.0,Case2,30,-44,[[+/-theta1]/[+/-theta2]]4,Case2|30|-44,planned_blind
