File = D:\Moldex3D\02. AI\Only CAE Surrogate\Report\XYPlot\G01_P01-10_SPRUE PRESSURE.csv

Title,Packing-Sprue Pressure
,,,,,,,,,,,,,,,,,,,,
Time (sec),Run 1 : G01_P01 (MPa),Time (sec),Run 11 : G01_P02 (MPa),Time (sec),Run 12 : G01_P03 (MPa),Time (sec),Run 13 : G01_P04 (MPa),Time (sec),Run 14 : G01_P05 (MPa),Time (sec),Run 15 : G01_P06 (MPa),Time (sec),Run 16 : G01_P07 (MPa),Time (sec),Run 17 : G01_P08 (MPa),Time (sec),Run 18 : G01_P09 (MPa),Time (sec),Run 19 : G01_P10 (MPa),
0.832854,6.87148,0.402124,6.58471,0.210402,8.27723,0.531044,9.86934,0.70613,8.52692,0.35133,9.69503,0.740805,7.68855,0.241279,9.51608,0.635832,5.59461,0.444157,7.24999,
0.850926,7.01302,0.411151,6.68921,0.214638,8.3818,0.541669,10.0445,0.720573,8.68021,0.358968,9.91763,0.75562,7.8326,0.246118,9.68432,0.648642,5.71025,0.454023,7.42107,
0.868912,7.15425,0.420202,6.81663,0.218859,8.4915,0.552362,10.2195,0.734973,8.82986,0.366598,10.1327,0.77044,7.97585,0.25096,9.86252,0.661439,5.82672,0.463863,7.59301,
0.8869,7.29209,0.429161,6.95979,0.223107,8.59801,0.562999,10.3902,0.749327,8.98153,0.374206,10.347,0.785141,8.11644,0.255809,10.0471,0.674235,5.94688,0.473728,7.7664,
0.904695,7.43109,0.438164,7.10797,0.227277,8.7069,0.573554,10.5584,0.763732,9.12989,0.381804,10.5602,0.79988,8.25605,0.260666,10.2351,0.687002,6.06607,0.483591,7.93903,
0.922657,7.56565,0.447084,7.2612,0.231519,8.81431,0.584126,10.7237,0.778167,9.27898,0.389426,10.7766,0.814561,8.39425,0.265501,10.4303,0.699897,6.18706,0.493447,8.11397,
0.940886,7.70351,0.456019,7.4203,0.235793,8.92177,0.594644,10.8888,0.792609,9.4479,0.397079,10.989,0.829339,8.55189,0.270354,10.6251,0.712758,6.30919,0.503382,8.28819,
0.958744,7.8407,0.465026,7.57943,0.240041,9.02863,0.605259,11.0531,0.806078,9.56976,0.404677,11.1986,0.843336,8.6713,0.275173,10.8224,0.725642,6.43219,0.5132,8.46119,
0.976842,7.99414,0.473992,7.74326,0.244209,9.13818,0.615875,11.2165,0.820389,9.70721,0.412224,11.406,0.857973,8.82136,0.279998,11.0229,0.738355,6.57179,0.522956,8.63383,
0.993922,8.10948,0.482855,7.90673,0.248382,9.24934,0.626511,11.3788,0.834738,9.87198,0.4199,11.6141,0.871933,8.93725,0.284821,11.2294,0.750606,6.67683,0.532907,8.80783,
1.01188,8.2549,0.491868,8.07008,0.252473,9.35378,0.637112,11.5408,0.848368,9.99592,0.427495,11.8201,0.88658,9.06875,0.289652,11.4351,0.763389,6.79462,0.542772,8.98282,
1.02893,8.39011,0.500829,8.23696,0.256732,9.46022,0.647759,11.7226,0.862762,10.1531,0.435116,12.0236,0.901317,9.20495,0.294492,11.6406,0.776205,6.91707,0.552653,9.15574,
1.04586,8.50042,0.509806,8.40501,0.260985,9.56778,0.657898,11.8609,0.876501,10.279,0.442762,12.2271,0.916075,9.35934,0.299307,11.8476,0.78904,7.03989,0.562484,9.35269,
1.06336,8.65039,0.518835,8.57227,0.265145,9.67697,0.668225,12.019,0.890742,10.4349,0.450373,12.4291,0.930072,9.47566,0.304152,12.0557,0.801893,7.17973,0.571787,9.4974,
1.07932,8.77577,0.527555,8.74674,0.269307,9.7849,0.678288,12.1924,0.904113,10.5848,0.457923,12.6307,0.944431,9.62627,0.308991,12.2654,0.813851,7.28699,0.581308,9.66904,
1.09624,8.90815,0.536012,8.92536,0.273423,9.8942,0.688252,12.3585,0.916887,10.7115,0.465206,12.8436,0.957656,9.7524,0.313701,12.4847,0.825837,7.41343,0.590507,9.85138,
1.11299,9.051,0.544389,9.09806,0.277485,10.0186,0.698183,12.5271,0.930356,10.8564,0.472293,13.0547,0.971422,9.88787,0.318263,12.7128,0.837765,7.53844,0.599758,10.0263,
1.12982,9.21024,0.552719,9.27137,0.281467,10.1438,0.708126,12.7217,0.943887,11.0304,0.479378,13.2592,0.9852,10.0313,0.322757,12.931,0.849746,7.6645,0.608938,10.2043,
1.14378,9.32513,0.561073,9.44548,0.285429,10.2688,0.717602,12.8667,0.956635,11.1814,0.486511,13.4646,0.999097,10.1728,0.327288,13.1513,0.861669,7.79188,0.616969,10.3668,
1.1584,9.45581,0.568451,9.60581,0.289389,10.3954,0.727596,13.055,0.96923,11.3269,0.49358,13.6717,1.01293,10.3383,0.331801,13.3701,0.873648,7.91968,0.624925,10.5349,
1.17239,9.58257,0.575755,9.75062,0.293345,10.5223,0.73695,13.2285,0.981931,11.4737,0.500653,13.9085,1.02592,10.4829,0.336316,13.5897,0.885597,8.06457,0.632582,10.6651,
1.18643,9.68928,0.583085,9.92426,0.297318,10.6467,0.746306,13.3919,0.99467,11.6212,0.507325,14.0819,1.03884,10.6197,0.340829,13.8136,0.896885,8.191,0.640597,10.8146,
1.20124,9.83038,0.590049,10.0542,0.301293,10.7756,0.755652,13.5351,1.00744,11.7721,0.5144,14.2783,1.05184,10.7404,0.34537,14.0627,0.90806,8.29581,0.648707,10.9703,
1.21539,9.95984,0.597396,10.1994,0.305274,10.9011,0.765665,13.7052,1.02019,11.9219,0.521529,14.5155,1.06576,10.8824,0.349666,14.254,0.919977,8.43428,0.656849,11.1476,
1.22952,10.0683,0.604753,10.3507,0.309109,11.0323,0.775693,13.8846,1.0329,12.074,0.527421,14.6769,1.07959,11.0528,0.354202,14.4675,0.931376,8.56257,0.664498,11.2819,
1.24438,10.1962,0.612112,10.5037,0.313099,11.1591,0.7858,14.0647,1.04573,12.2057,0.533594,14.8431,1.09275,11.1816,0.358731,14.6885,0.942716,8.66904,0.672669,11.4305,
1.25936,10.3442,0.619506,10.6565,0.317058,11.2851,0.79581,14.2442,1.05934,12.3633,0.539864,15.0245,1.10664,11.3274,0.363301,14.9102,0.954824,8.79277,0.680774,11.5871,
1.2736,10.4617,0.626872,10.8089,0.320914,11.416,0.805846,14.4479,1.07295,12.5454,0.546135,15.2093,1.12062,11.4802,0.367877,15.1314,0.966882,8.92366,0.688916,11.7419,
1.2885,10.6057,0.634314,10.9612,0.324912,11.5439,0.81537,14.6052,1.08586,12.6882,0.552463,15.394,1.13459,11.6333,0.372421,15.3504,0.979005,9.05414,0.697061,11.8985,
1.30293,10.741,0.641743,11.1122,0.328915,11.6726,0.82551,14.7795,1.09957,12.8668,0.558736,15.5788,1.14867,11.805,0.376963,15.5698,0.991174,9.18395,0.705196,12.0551,
1.31715,10.8707,0.649168,11.2631,0.3329,11.8035,0.835688,14.9636,1.11254,13.0333,0.565054,15.7634,1.16196,11.9396,0.381545,15.7899,1.00341,9.3147,0.713392,12.2101,
1.33146,10.9808,0.656661,11.4131,0.336922,11.9358,0.84589,15.1718,1.12547,13.1677,0.571402,15.9487,1.17603,12.1056,0.386147,16.0074,1.01561,9.46143,0.721614,12.3657,
