case,test_id,label,theta1,theta2,pt,n_points,transition_index,transition_x_ratio,transition_load_ratio,post_points,post_fraction,pre_slope,post_slope_full,post_slope_early,post_slope_tail,post_slope_ratio,post_slope_drop,post_r2,post_nrmse,tail_r2,quad_a,abs_quad_a,slope_drift,mean_abs_curvature,max_abs_curvature,data_quality_code
Case3,Test_053,2,-67.0,23.0,12333.052393,1001,153,0.153,0.34913912013670373,828,0.8271728271728271,576120.2287395777,173577.4546578172,232099.63518079405,139568.6946449042,0.6013309522705071,0.3986690477294928,0.9937495495734268,0.022386202714510323,0.9998736111561094,-0.29548191459983764,0.29548191459983764,0.521838938902776,0.884594678790725,7.0329648707805745,0
Case3,Test_054,2,-36.0,-80.0,13387.5401103,1001,263,0.263,0.48244778696957885,718,0.7172827172827173,358397.67319009017,125188.39263333108,160067.87991191243,106768.13438544607,0.6670178579500275,0.33298214204997245,0.9961887043028547,0.01750600366520922,0.9999375253768296,-0.229537820810756,0.229537820810756,0.417403706310024,0.6853514065345964,4.018245484541239,0
Case3,Test_055,1,69.0,-62.0,10398.0207424,1001,682,0.682,0.8392386046756933,299,0.2987012987012987,104937.86904559379,40677.795595275966,45380.16334045141,38685.558366943034,0.8524772834490688,0.14752271655093122,0.9994546879145846,0.006696699781457326,0.9999962822137262,-0.08600464967966427,0.08600464967966427,0.16283040061210582,0.26493874243206883,1.4218276598778345,0
Case3,Test_056,1,88.0,-61.0,8280.19797932,1001,468,0.468,0.6880735360703405,513,0.5124875124875125,122753.32528981667,45923.52047776702,52073.1549484879,43128.90572343667,0.8282368480669338,0.1717631519330663,0.9992652624996362,0.007748647771782667,0.9999914773032317,-0.1002021508111263,0.1002021508111263,0.1925465474403715,0.35641588939761853,2.7522465195313544,0
Case3,Test_057,1,-85.0,56.0,9493.64421018,1001,461,0.461,0.6879466657222524,520,0.5194805194805194,143688.73611020637,51911.82169043691,58817.48320687961,48621.20649170057,0.8266454775136243,0.17335452248637576,0.9992420613371055,0.007872888479192226,0.9999899694688552,-0.10219804119423878,0.10219804119423878,0.19440427926195017,0.3607832156689116,2.808405819641962,0
Case3,Test_058,1,46.0,41.0,15249.0629269,1001,570,0.57,0.7578966265163407,411,0.41058941058941056,186486.1182599222,73090.95165621469,88082.96694350388,66039.50476882282,0.7497420563862289,0.2502579436137711,0.9980081233500873,0.012718763468208076,0.9999840885474972,-0.1651557085337546,0.1651557085337546,0.29669040471469454,0.43587126110079366,1.6456084148337595,0
Case3,Test_059,2,34.0,-32.0,12712.5665375,1001,224,0.224,0.468535654491253,757,0.7562437562437563,394461.32410716004,119225.52764759959,155833.19069180224,98615.31176779537,0.6328261093160247,0.36717389068397527,0.9949678796674537,0.020120953063340163,0.9999034221926164,-0.2649395731249489,0.2649395731249489,0.47036081796046086,0.7535506944622659,5.307257501297499,0
Case3,Test_060,3,11.0,-2.0,6059.58282942,1001,28,0.028,0.1536482434139872,953,0.952047952047952,1612704.7650283424,209274.43817308024,406916.0450441313,93690.62617123223,0.23024559319372917,0.7697544068062707,0.9547943294111232,0.059429288828579944,0.9922941751907928,-0.782487597842097,0.782487597842097,1.4156411720465103,2.2224457024177378,21.56829210287931,0
Case3,Test_061,2,19.0,-67.0,12225.4857379,1001,132,0.132,0.32434017371174817,849,0.8481518481518482,666398.2630321288,187570.61030957344,254048.52166136968,147759.26913629135,0.581618299409925,0.41838170059007496,0.9927572518459623,0.02410758473375674,0.9998488498666648,-0.31878095204902285,0.31878095204902285,0.5546463311375432,0.9242879204653798,7.725117396487235,0
Case3,Test_062,1,-45.0,-80.0,12860.836074,1001,399,0.399,0.6569321112431546,582,0.5814185814185814,227609.87520344913,74103.70981201132,80019.96306240064,68644.39493256847,0.8578408725212563,0.14215912747874368,0.9993527047607842,0.007353676803271049,0.9999807777927674,-0.09826229126392325,0.09826229126392325,0.15322677877127633,0.18680652127035396,0.7085346950332223,0
